vote_id,term,position,area,term_n,total_r,total_p
427,99年,市民代表,桃園縣中壢市,99,201600,1121470
428,99年,市民代表,桃園縣中壢市,99,300000,300040
429,99年,市民代表,桃園縣中壢市,99,20000,35953
430,99年,市民代表,桃園縣中壢市,99,301500,353518
431,99年,市民代表,桃園縣中壢市,99,944046,977708
432,99年,市民代表,桃園縣中壢市,99,100028,100100
433,99年,市民代表,桃園縣中壢市,99,158002,425053
434,99年,里長,桃園縣中壢市,99,0,0
435,99年,里長,桃園縣中壢市,99,86000,122260
436,99年,里長,桃園縣中壢市,99,51300,71000
437,99年,里長,桃園縣中壢市,99,10000,150255
438,99年,里長,桃園縣中壢市,99,154050,182730
439,99年,里長,桃園縣中壢市,99,30000,75600
440,99年,里長,桃園縣中壢市,99,136800,172951
441,99年,里長,桃園縣中壢市,99,0,0
442,99年,里長,桃園縣中壢市,99,29600,75600
443,99年,里長,桃園縣中壢市,99,0,0
444,99年,里長,桃園縣中壢市,99,186405,190870
445,99年,市民代表,桃園縣八德市,99,262000,341012
446,99年,市民代表,桃園縣八德市,99,200000,231863
447,99年,市民代表,桃園縣八德市,99,113000,168630
448,99年,市民代表,桃園縣八德市,99,100000,454203
449,99年,市民代表,桃園縣八德市,99,109008,271462
450,99年,市民代表,桃園縣八德市,99,0,0
451,99年,市民代表,桃園縣八德市,99,826000,843368
452,99年,市民代表,桃園縣八德市,99,150000,257157
453,99年,市民代表,桃園縣八德市,99,106005,478075
454,99年,市民代表,桃園縣八德市,99,100000,590906
455,99年,市民代表,桃園縣八德市,99,306231,522137
456,99年,市民代表,桃園縣八德市,99,0,0
457,99年,市民代表,桃園縣八德市,99,0,0
458,99年,市民代表,桃園縣八德市,99,123000,314865
459,99年,市民代表,桃園縣八德市,99,135000,561032
460,99年,市民代表,桃園縣八德市,99,666004,809823
461,99年,市民代表,桃園縣八德市,99,0,0
462,99年,市民代表,桃園縣八德市,99,100025,226234
463,99年,里長,桃園縣八德市,99,0,0
464,99年,里長,桃園縣八德市,99,242008,357717
465,99年,里長,桃園縣八德市,99,180000,181980
466,99年,里長,桃園縣八德市,99,0,0
467,99年,里長,桃園縣八德市,99,0,0
468,99年,里長,桃園縣八德市,99,0,0
469,99年,里長,桃園縣八德市,99,0,0
470,99年,里長,桃園縣八德市,99,51002,163110
471,99年,里長,桃園縣八德市,99,0,0
472,99年,里長,桃園縣八德市,99,56600,58400
473,99年,里長,桃園縣八德市,99,0,0
474,99年,里長,桃園縣八德市,99,41600,46560
475,99年,村長,桃園縣大園鄉,99,52000,102248
476,99年,村長,桃園縣大園鄉,99,21800,301529
477,99年,村長,桃園縣大園鄉,99,135200,245910
478,99年,村長,桃園縣大園鄉,99,110000,132285
479,99年,鄉民代表,桃園縣大園鄉,99,100000,407041
480,99年,鄉民代表,桃園縣大園鄉,99,15000,140970
481,99年,鄉民代表,桃園縣大園鄉,99,76000,87372
482,99年,鄉民代表,桃園縣大園鄉,99,802000,816000
483,99年,鄉民代表,桃園縣大園鄉,99,125000,378387
484,99年,鄉民代表,桃園縣大園鄉,99,200000,328298
485,99年,里長,桃園縣大溪鎮,99,100000,209080
486,99年,里長,桃園縣大溪鎮,99,160800,177767
487,99年,里長,桃園縣大溪鎮,99,49100,66064
488,99年,里長,桃園縣大溪鎮,99,14520,102739
489,99年,里長,桃園縣大溪鎮,99,21600,84945
490,99年,鎮民代表,桃園縣大溪鎮,99,70000,98379
491,99年,鎮民代表,桃園縣大溪鎮,99,0,384872
492,99年,鎮民代表,桃園縣大溪鎮,99,7000,146808
493,99年,鎮民代表,桃園縣大溪鎮,99,150000,361160
494,99年,鎮民代表,桃園縣大溪鎮,99,133000,215222
495,99年,鎮民代表,桃園縣大溪鎮,99,121000,352440
496,99年,市民代表,桃園縣平鎮市,99,147000,164641
497,99年,市民代表,桃園縣平鎮市,99,145000,145000
498,99年,市民代表,桃園縣平鎮市,99,0,0
499,99年,市民代表,桃園縣平鎮市,99,9000,572872
